"id","window_start","window_end","window_setting","number_of_cores","number_of_threads","latency","throughput","created_at"
230,"1762966800","1762966860","tumbling_1 minutes","4","1","0.131","503.8168","2025-11-12 17:01:00.379319+00"
231,"1762966860","1762966920","tumbling_1 minutes","4","1","0.344","194.76744","2025-11-12 17:02:01.003052+00"
232,"1762966920","1762966980","tumbling_1 minutes","4","1","0.513","128.65497","2025-11-12 17:03:00.667276+00"
233,"1762966980","1762967040","tumbling_1 minutes","4","1","1.358","49.33726","2025-11-12 17:04:01.915443+00"
234,"1762967040","1762967100","tumbling_1 minutes","4","1","0.146","452.0548","2025-11-12 17:05:00.204936+00"
235,"1762967100","1762967160","tumbling_1 minutes","4","1","0.147","455.78232","2025-11-12 17:06:00.598708+00"
236,"1762967160","1762967220","tumbling_1 minutes","4","1","0.232","288.7931","2025-11-12 17:07:01.086648+00"
237,"1762967220","1762967280","tumbling_1 minutes","4","1","1.014","65.08876","2025-11-12 17:08:01.372737+00"
238,"1762967280","1762967340","tumbling_1 minutes","4","1","0.714","93.83753","2025-11-12 17:09:01.468843+00"
239,"1762967340","1762967400","tumbling_1 minutes","4","1","0.4","165","2025-11-12 17:10:00.657581+00"
240,"1762967400","1762967460","tumbling_1 minutes","4","1","0.308","217.53247","2025-11-12 17:11:00.97307+00"
241,"1762967460","1762967520","tumbling_1 minutes","4","1","0.2","330","2025-11-12 17:12:00.370397+00"
242,"1762967520","1762967580","tumbling_1 minutes","4","1","0.573","116.928444","2025-11-12 17:13:01.146539+00"
243,"1762967580","1762967640","tumbling_1 minutes","4","1","0.57","115.789474","2025-11-12 17:14:00.63443+00"
244,"1762967640","1762967700","tumbling_1 minutes","4","1","0.698","95.98854","2025-11-12 17:15:01.158821+00"
245,"1762967700","1762967760","tumbling_1 minutes","4","1","0.479","139.87474","2025-11-12 17:16:01.345541+00"
246,"1762967760","1762967820","tumbling_1 minutes","4","1","0.437","151.02975","2025-11-12 17:17:00.799747+00"
